objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
"1,23764870351074E+018",200.35953329068,-0.687556333939174,18.53701,16.47889,15.43553,15.02695,14.66634,14.11292,5.283123,18.09495,0.7838151,0.8257038,-936.3005,-10256.83,-35926.66,1.0,0.1067754,1.912932e-05,271.4648,8.327998,"5,87722982285836E+017",200.35952758789065,-0.6875575184822083,153,0.8220000267028809,0.06700000166893,0.1110000014305114,0.0,1.0,0.0,1.0,Elliptical
"1,23764870351074E+018",200.296401316215,-0.719005371972555,19.77916,17.9263,16.92201,16.50631,16.10878,5.032447,2.162527,6.557269,0.8265767,0.789843,-37.41077,-1087317,-7117.21,1.0,0.1072724,2.356957e-05,168.0544,9.324573,"5,87722982285836E+017",200.29640197753903,-0.7190023064613342,146,0.9300000071525574,0.0700000002980232,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,23764870351074E+018",200.30482899674,-0.645412610565743,19.58232,17.62089,16.65487,16.23807,15.86358,4.163743,1.824913,5.433688,0.7110947,0.7543707,-20.76353,-1669736,-9715054,1.0,0.08400247,2.257717e-05,201.7735,9.082629,"5,87722982285836E+017",200.3048248291016,-0.6454108357429504,131,0.8600000143051147,0.0700000002980232,0.0700000002980232,0.0,1.0,0.0,1.0,Elliptical
"1,23764870351074E+018",200.337857068398,-0.711225412832927,19.74335,17.80963,16.81659,16.41154,16.05398,4.58355,1988,5.486131,0.5282816,0.5599787,-26.95043,-844.4624,-8583746,0.9269741,0.1100028,2.425391e-05,183.1156,9.376346,"5,87722982285837E+017",200.33786010742188,-0.7112224698066711,128,0.9319999814033508,0.0,0.0680000036954879,0.0,0.0,0.0,0.0,Elliptical
"1,23764870351081E+018",200.399844694523,-0.698468978056158,19.57293,17.80079,16.85184,16.44499,16.08537,4.008452,1.798698,4.994617,0.3545108,0.3776706,-62.8803,-565.5026,-9020247,0.8277541,0.1031448,2.320503e-05,173.7122,8.330763,"5,87722982285902E+017",200.39984130859372,-0.6984662413597107,136,0.9549999833106996,0.0450000017881393,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,23764870351127E+018",201.465779628711,-0.679013029351236,18.31541,16.32926,15.37976,14.93105,14.5716,6.832485,2.936794,9.506039,0.6991919,0.6615815,-277221,-9985703,-44462.98,1.0,0.05488715,1.360088e-05,191.8437,5.758564,"5,87722982286361E+017",201.4657745361328,-0.6790160536766052,137,0.8209999799728394,0.1539999991655349,0.0260000005364418,0.4000000059604645,0.6000000238418579,0.0,1.0,Elliptical
"1,23764870351127E+018",201.483756145497,-0.70239035023552,18.40463,16.78039,16.13863,15.83869,15.60236,2.620511,1.182052,3.068116,0.8291508,0.8827534,-116.2624,-2000528,-14653.26,0.9523705,0.05567088,1.033281e-05,103.3223,3.915645,"5,87722982286361E+017",201.48374938964844,-0.7023935317993164,133,0.9300000071525574,0.0469999983906745,0.0230000000447034,0.0,1.0,0.0,1.0,Elliptical
"1,23764870351127E+018",201.435503168025,-0.64695945888731,17.77556,16.35466,15.66237,15.28914,14.98384,10.88254,4.956862,10.93961,0.749851,0.7752446,-3820.51,-2888892,-43858.35,0.3552267,0.05450195,1.386511e-05,96.7674,7.494289,"5,87722982286361E+017",201.4355010986328,-0.6469624042510986,255,0.0829999968409538,0.8610000014305115,0.0560000017285347,0.06700000166893,0.9330000281333924,0.9330000281333924,0.06700000166893,Spiral
"1,23764870352306E+018",228.424359827413,-0.779413909549205,19.14684,17.78486,17.11476,16.72478,16.42949,4.416133,2.088476,5.270182,0.3616706,0.3833623,-1143042,-101.1403,-13592.46,0.1025078,0.04026579,7.484326e-06,38.01616,13.29553,"5,87722982298157E+017",228.4243621826172,-0.7794103622436523,143,0.915000021457672,0.0430000014603138,0.0430000014603138,0.0,1.0,0.0,1.0,Elliptical
"1,23764870352313E+018",228.582417407039,-0.832068348814387,20.09006,18.02654,16.96989,16.52212,16.12207,4.499946,1.878645,6.096043,0.6252027,0.6673045,-55.20338,-1758427,-9065406,1.0,0.1214838,2.663238e-05,230421,11.81512,"5,87722982298223E+017",228.58241271972656,-0.8320680856704712,132,0.9269999861717224,0.0729999989271164,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,23764870352326E+018",228.962912552102,-0.819789050601124,19.72611,17.78951,16.76624,16.32786,15.95786,6.613936,3.007261,7.404937,0.737657,0.7290338,-217899,-514.7595,-9496018,0.5690414,0.1189745,3.301345e-05,149.0977,11.25707,"5,87722982298354E+017",228.96290588378903,-0.8197899460792542,129,0.8840000033378601,0.0469999983906745,0.0700000002980232,0.0,1.0,0.0,1.0,Elliptical
"1,23764870352332E+018",229.052886472411,-0.801013915163668,19.32281,17.26058,16.15712,15.65228,15.23894,6.957038,3.147974,9.367019,0.843134,0.8726752,-243.4412,-2835.2,-21919.05,0.9351109,0.1181527,3.188792e-05,295.4683,12.47509,"5,8772298229842E+017",229.05288696289065,-0.8010152578353882,169,0.8700000047683716,0.1089999973773956,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
"1,23764870352339E+018",229.124612477991,-0.656490204469043,18.97867,17.43038,16.51485,16.08336,15.76574,9.227298,4.251559,9.94443,0.9210747,0.9997496,-980.6381,-1646339,-10979.97,0.6831962,0.1164221,2.667106e-05,132.8746,10.65306,"5,87722982298485E+017",229.12461853027344,-0.6564875841140747,395,0.0,1.0,0.0,0.7609999775886536,0.238999992609024,1.0,0.0,Spiral
"1,23764870352431E+018",231.348654190946,-0.709977947470593,18.11424,16.50473,15.63759,15.16252,14.6845,14.1141,6.591848,15.75263,0.7140794,0.6123709,-2811871,-8206432,-28544.32,1.0,0.0381603,8.908484e-06,118.2137,7.883519,"5,87722982299402E+017",231.34866333007807,-0.7099644541740417,344,0.0,1.0,0.0,0.9769999980926514,0.0230000000447034,0.6819999814033508,0.3179999887943268,Irregular
"1,23764870352431E+018",231.301394182954,-0.795674540472491,20.68318,18.28974,17.02474,16.4503,15.95673,4.968406,2.111328,7.155958,0.6113515,0.6653007,-75.83239,-1618781,-8167522,1.0,0.1233328,3.320311e-05,235.5655,11.69528,"5,87722982299403E+017",231.3014068603516,-0.7956664562225342,149,0.912999987602234,0.0649999976158142,0.0219999998807907,0.0,1.0,0.3330000042915344,0.6669999957084656,Elliptical
"1,2376487035245E+018",231.806273139637,-0.794426342369379,20.87066,18.52114,17.34799,16.83145,16.37996,3.982502,1.674673,5.674164,0.9832981,0.9922698,-104298,-1240874,-5062968,1.0,0.1246231,3.248481e-05,224.8145,11.90768,"5,87722982299599E+017",231.8062744140625,-0.7944222688674927,136,0.8180000185966492,0.0680000036954879,0.1140000000596046,0.0,1.0,0.0,1.0,Elliptical
"1,23764870352509E+018",233.138144147699,-0.758687683035536,19.28851,17.71898,16.92212,16.49076,16.12863,6.667419,2.940389,8.136303,0.6071605,0.6213091,-154.6841,-247.3958,-7622515,0.4783313,0.08293848,1.334799e-05,109.5373,17.4266,"5,87722982300189E+017",233.1381378173828,-0.7586831450462341,152,0.8569999933242798,0.0610000006854534,0.0820000022649765,0.0,1.0,1.0,0.0,Elliptical
