objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
1237648721231216744,181.035516475602,-0.113231734714598,18.70879,16.90718,16.09038,15.70497,15.40131,3.469432,1.505728,4.91444,0.6908641,0.6111171,-880.9892,-6572.298,-20140.87,1.0,0.0626367,1.647604e-05,182.2048,6.372808,588848899913154571,181.0355224609375,-0.1132271215319633,140,0.8100000023841858,0.1430000066757202,0.0480000004172325,0.800000011920929,0.2000000029802322,0.0,1.0,Elliptical
1237648721767563389,179.895765767824,0.343291107701103,19.09117,17.66682,16.99706,16.61103,16.42002,6.943861,3.567106,6.723813,0.6620072,0.6939591,-1208.049,-484.8641,-10836.21,0.1031231,0.1080196,8.397066e-06,88.93016,12.98733,588848900449501345,179.89576721191406,0.3432888686656952,242,0.1180000007152557,0.8529999852180481,0.0289999991655349,0.2860000133514404,0.7139999866485596,0.9639999866485596,0.0359999984502792,Spiral
1237648720693952587,180.137932307361,-0.543522149346502,19.13686,17.68673,16.92175,16.51528,16.22132,5.76998,2.744383,5.900284,0.5499237,0.5779698,-1189.96,-176.8028,-13536.18,0.1213204,0.08375306,1.739186e-05,136.9734,16.11994,588848899375890517,180.137939453125,-0.5435277819633484,151,0.8180000185966492,0.1360000073909759,0.0450000017881393,0.0,1.0,0.6000000238418579,0.4000000059604645,Elliptical
1237648720693952601,180.143770456399,-0.552372782072934,19.3272,17.31053,16.33996,15.90287,15.54023,4.301495,1.900447,5.845296,0.6194725,0.6159359,-16.20002,-2797.314,-16695.73,1.0,0.08400331,1.484608e-05,172.4863,5.935582,588848899375890534,180.14376831054688,-0.5523783564567566,136,0.9049999713897704,0.0949999988079071,0.0,0.0,1.0,0.5,0.5,Elliptical
1237648720694083747,180.543947890728,-0.588891689414106,19.76196,17.65461,16.65547,16.20892,15.8475,4.380023,1.811936,5.961973,0.7106437,0.7867335,-268.9902,-2514.283,-12236.51,1.0,0.09397519,2.383508e-05,196.9851,9.66137,588848899376021660,180.5439453125,-0.5888928771018982,140,0.9070000052452089,0.0700000002980232,0.0230000000447034,0.0,1.0,0.3330000042915344,0.6669999957084656,Elliptical
1237648721230692538,179.929061350764,-0.040068657319958,20.08202,17.96983,16.97005,16.51754,16.16956,5.803589,2.296125,7.768072,0.5895569,0.5919503,-401.2844,-2829.923,-8745.396,1.0,0.1089733,3.370933e-05,198.7809,12.24751,588848899912630457,179.92906188964844,-0.0400697812438011,150,0.824999988079071,0.1749999970197677,0.0,0.0,1.0,0.6669999957084656,0.3330000042915344,Elliptical
1237648721230823569,180.18769604337,-0.16409285054786,20.50369,18.23083,17.01759,16.53623,16.16943,4.227072,1.783848,5.550133,0.8972654,0.8615268,-20.78472,-1319.14,-7819.268,1.0,0.1630622,3.624487e-05,269.2553,14.08462,588848899912761510,180.1876983642578,-0.1640950739383697,140,0.9330000281333924,0.0219999998807907,0.0439999997615814,0.0,1.0,0.0,1.0,Elliptical
1237648721231413438,181.508091336374,-0.0237724626292076,18.92145,17.66288,16.95821,16.55782,16.31484,4.372116,2.119668,5.124356,0.8689261,0.8786958,-1270.375,-67.46579,-15721.88,0.1286087,0.1040627,9.467947e-06,100.988,12.25496,588848899913351332,181.50808715820312,-0.0237697307020425,122,0.9070000052452089,0.0,0.0930000022053718,0.0,0.0,0.0,0.0,Elliptical
1237648721767628921,180.000002112472,0.414892810314718,19.50043,17.63478,16.67795,16.23649,15.87566,5.030484,2.13593,7.080846,0.912137,0.956296,-400.1853,-3373.939,-11569.21,1.0,0.0857684,2.605964e-05,178.5189,11.16842,588848900449566871,180.0,0.4148862361907959,143,0.9330000281333924,0.0439999997615814,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
1237648721767760005,180.374550557902,0.35133402314153,19.38721,17.48886,16.51007,16.0798,15.71995,5.421003,2.335588,7.882856,0.9050355,0.8804901,-112.4435,-2972.47,-14751.88,1.0,0.1050408,2.774283e-05,186.9162,9.599227,588848900449697955,180.3745574951172,0.3513382077217102,132,0.8539999723434448,0.0979999974370002,0.0489999987185001,0.5,0.5,0.0,1.0,Elliptical
